row_id,question,trusted_metrics,narration,label,category,note
7110c9d7bedd,How concentrated is the household base?,"{""columns"": [""segment"", ""pct_of_panel"", ""pct_of_revenue""], ""question"": ""How concentrated is the household base?"", ""row_count"": 1, ""rows"": [{""pct_of_panel"": ""20.5"", ""pct_of_revenue"": ""45.6"", ""segment"": ""Champions""}], ""totals"": {""pct_of_panel"": {""highest_row"": {""pct_of_panel"": 20.5, ""segment"": ""Champions""}, ""lowest_row"": {""pct_of_panel"": 20.5, ""segment"": ""Champions""}, ""maximum"": 20.5, ""mean"": 20.5, ""minimum"": 20.5, ""n_values"": 1, ""total"": 20.5}, ""pct_of_revenue"": {""highest_row"": {""pct_of_revenue"": 45.6, ""segment"": ""Champions""}, ""lowest_row"": {""pct_of_revenue"": 45.6, ""segment"": ""Champions""}, ""maximum"": 45.6, ""mean"": 45.6, ""minimum"": 45.6, ""n_values"": 1, ""total"": 45.6}}}","The household base shows significant revenue concentration in the Champions segment.
The Champions segment represents 20.5 percent of the panel and generates 45.6 percent of the revenue.
A minority of households drives a disproportionately large share of total revenue, highlighting the importance of retaining this key segment.
The data only includes the Champions segment and does not show metrics for other customer segments.",,,
17fe7f0d3dd1,What does this say about profitability?,"{""columns"": [""department"", ""revenue""], ""rows"": [{""department"": ""GROCERY"", ""revenue"": ""4100000.00""}]}","The available data provides revenue figures for the grocery department without detailing costs or profitability.
The GROCERY department generated a revenue of 4100000.00.
While this shows the top-line sales volume for this department, it is not possible to determine profit margins or net income from revenue alone.
Profitability cannot be assessed because the dataset only contains revenue and lacks cost data.",,,
05ab571bf1ca,What proportion of the catalogue reaches 80% of revenue?,"{""columns"": [""products"", ""pct_of_catalogue""], ""rows"": [{""pct_of_catalogue"": ""12.9"", ""products"": 11865}]}","A small fraction of the catalogue generates the majority of revenue.
The proportion of the catalogue that reaches 80% of revenue is 12.9 percent, comprising 11865 products.
Focusing inventory and marketing efforts on this specific segment can optimize operational efficiency.
The data reflects historical performance and may not predict future catalogue contributions.",,,
73521fbd0e5d,By what percentage did revenue grow?,"{""change_over_period"": {""revenue"": {""absolute_change"": 200.0, ""direction"": ""increase"", ""from_period"": 1, ""from_value"": 800.0, ""percent_change"": 25.0, ""to_period"": 2, ""to_value"": 1000.0}}, ""columns"": [""week_no"", ""revenue""], ""period_column"": ""week_no"", ""question"": ""By what percentage did revenue grow?"", ""row_count"": 2, ""rows"": [{""revenue"": ""800.00"", ""week_no"": 1}, {""revenue"": ""1000.00"", ""week_no"": 2}], ""totals"": {""revenue"": {""maximum"": 1000.0, ""mean"": 900.0, ""minimum"": 800.0, ""n_values"": 2, ""total"": 1800.0}, ""week_no"": {""maximum"": 2.0, ""mean"": 1.5, ""minimum"": 1.0, ""n_values"": 2, ""total"": 3.0}}}","Revenue grew from week 1 to week 2.
Revenue increased by 25.0 percent, moving from a value of 800.0 in week 1 to 1000.0 in week 2, representing an absolute change of 200.0.
Shows positive revenue momentum across the measured periods.
Data is limited to week 1 and week 2.",,,
58c40f1ef674,Did the campaign period show growth?,"{""columns"": [""week_no"", ""revenue""], ""rows"": [{""revenue"": ""1200.50"", ""week_no"": 45}, {""revenue"": ""1150.25"", ""week_no"": 46}]}","Revenue figures are available for week 45 and week 46.
In week 45, the recorded revenue was 1200.50.
Establishes the performance baseline for the first recorded week.
In week 46, the recorded revenue was 1150.25.
Provides the revenue result for the subsequent week.
The provided data only includes two weeks, so campaign growth cannot be fully evaluated without additional period context.",,,
6e828a82b413,What is the retention rate?,"{""columns"": [""retention_pct""], ""rows"": [{""retention_pct"": ""67.4956""}]}","The overall retention rate is recorded at 67.4956 percent.
The retention rate stands at 67.4956 percent.
This metric indicates the baseline proportion of customers or users maintained over the measurement period.
The data represents a single retention rate figure without temporal or segment breakdowns.",,,
21ace9063cd8,How concentrated is the household base?,"{""columns"": [""segment"", ""pct_of_panel"", ""pct_of_revenue""], ""rows"": [{""pct_of_panel"": ""20.5"", ""pct_of_revenue"": ""45.6"", ""segment"": ""Champions""}]}","Champions represent a minority of the household base while driving a larger share of revenue.
Champions account for 20.5 percent of the panel and 45.6 percent of revenue.
This indicates that revenue generation is heavily concentrated within this top household segment.
Data is limited to the Champions segment provided.",,,
181e06cc78af,What will revenue be next week?,"{""change_over_period"": {""revenue"": {""absolute_change"": 2000.0, ""direction"": ""increase"", ""from_period"": 50, ""from_value"": 84000.0, ""percent_change"": 2.38, ""to_period"": 51, ""to_value"": 86000.0}}, ""columns"": [""week_no"", ""revenue""], ""period_column"": ""week_no"", ""question"": ""What will revenue be next week?"", ""row_count"": 2, ""rows"": [{""revenue"": ""84000.00"", ""week_no"": 50}, {""revenue"": ""86000.00"", ""week_no"": 51}], ""totals"": {""revenue"": {""maximum"": 86000.0, ""mean"": 85000.0, ""minimum"": 84000.0, ""n_values"": 2, ""total"": 170000.0}, ""week_no"": {""maximum"": 51.0, ""mean"": 50.5, ""minimum"": 50.0, ""n_values"": 2, ""total"": 101.0}}}","Revenue is tracked across two periods, moving from week 50 to week 51.
Revenue was 84000.00 in week 50 and increased by 2000.0 to reach 86000.00 in week 51.
Tracking the trajectory of revenue between consecutive weeks helps monitor recent sales momentum.
The data provided covers only two periods and does not contain a forecast for future weeks.",,,
efae08f5f0e0,Give an overview of these segments.,"{""columns"": [""segment"", ""households"", ""revenue""], ""rows"": [{""households"": 512, ""revenue"": ""3900000.00"", ""segment"": ""Champions""}, {""households"": 300, ""revenue"": ""1200000.00"", ""segment"": ""Loyal""}]}","Overview of customer segments showing household counts and revenue generation.
The Champions segment comprises 512 households generating 3900000.00 in revenue.
Identifies the primary revenue-driving customer group.
The Loyal segment consists of 300 households contributing 1200000.00 in revenue.
Highlights the contribution of the second customer group.
The data only covers two segments.
No time period is specified for the revenue.",,,
1a23526731e1,What is the p-value?,"{""columns"": [""p_value""], ""rows"": [{""p_value"": ""0.0071""}]}","The analysis yielded a p-value of 0.0071.
The resulting p-value is 0.0071.
This metric indicates the statistical significance of the findings from the data.
The data only provides the p-value without additional context.",,,
2d83609c53f6,What is the display coverage rate?,"{""columns"": [""display_pct""], ""question"": ""What is the display coverage rate?"", ""row_count"": 1, ""rows"": [{""display_pct"": ""8.7""}], ""totals"": {""display_pct"": {""maximum"": 8.7, ""mean"": 8.7, ""minimum"": 8.7, ""n_values"": 1, ""total"": 8.7}}}","The display coverage rate stands at 8.7 percent.
The overall display coverage rate recorded is 8.7.
This metric measures the proportion of locations or products utilizing displays, indicating current in-store visibility.
The data is based on a single measured value.",,,
63d5dc4233da,Describe revenue concentration.,"{""columns"": [""top_1pct_share"", ""products""], ""question"": ""Describe revenue concentration."", ""row_count"": 1, ""rows"": [{""products"": 92353, ""top_1pct_share"": ""37.7""}], ""totals"": {""products"": {""maximum"": 92353.0, ""mean"": 92353.0, ""minimum"": 92353.0, ""n_values"": 1, ""total"": 92353.0}, ""top_1pct_share"": {""maximum"": 37.7, ""mean"": 37.7, ""minimum"": 37.7, ""n_values"": 1, ""total"": 37.7}}}","Revenue concentration shows the top one percent share across the product catalog.
Across 92353 products, the top 1pct share accounts for 37.7 of revenue concentration.
Understanding this concentration helps manage portfolio risk and merchandising focus.
The data represents a single summary row for the catalog.",,,
